RDO:;NO. 15 ILAGAN, ISABELA;;;;
CITY/MUNICIPALITY:;ILAGAN;;;;
BARANGAY:;SALINDINGAN;;;;
ALL LOTS;BARANGAY ROAD;RR;100.00;;
ALL LOTS;INTERIOR;RR;60.00;;
ALL LOTS;INTERIOR;A1;10.00;;
ALL LOTS;INTERIOR;A2;5.00;;
CITY/MUNICIPALITY:;ILAGAN;;;;
BARANGAY:;SAN ANDRES;;;;
SAN ANDRES;NATIONAL ROAD;CR;800.00;;
SAN ANDRES;INTERIOR;CR;600.00;;
SAN ANDRES;INTERIOR;X;100.00;;
SAN ANDRES;BARANGAY ROAD;RR;200.00;;
SAN ANDRES;INTERIOR;RR;150.00;;
SAN ANDRES;INTERIOR;A1;8.00;;
SAN ANDRES;INTERIOR;A2;4.00;;
CITY/MUNICIPALITY:;ILAGAN;;;;
BARANGAY:;SAN ANTONIO;;;;
ALL LOTS;BARANGAY ROAD;RR;175.00;;
ALL LOTS;INTERIOR;RR;100.00;;
ALL LOTS;INTERIOR;A1;10.00;;
ALL LOTS;INTERIOR;A2;5.00;;
CITY/MUNICIPALITY:;ILAGAN;;;;
BARANGAY:;SAN FELIPE;;;;
ALL LOTS;NATIONAL ROAD;CR;4,000.00;;
ALL LOTS;INTERIOR;CR;2,000.00;;
ALL LOTS;INTERIOR;X;1,000.00;;
ALL LOTS;BARANGAY ROAD;RR;1,000.00;;
ALL LOTS;INTERIOR;RR;800.00;;
ALL LOTS;INTERIOR;A1;10.00;;
ALL LOTS;INTERIOR;A2;5.00;;
CITY/MUNICIPALITY:;ILAGAN;;;;
BARANGAY:;SAN IGNACIO;;;;
ALL LOTS;BARANGAY ROAD;RR;100.00;;
ALL LOTS;INTERIOR;RR;80.00;;
ALL LOTS;INTERIOR;A1;8.00;;
ALL LOTS;INTERIOR;A2;4.00;;
CITY/MUNICIPALITY:;ILAGAN;;;;
BARANGAY:  SAN ISIDRO;;;;;
ALL LOTS;NATIONAL ROAD;CR;3,500.00;;
ALL LOTS;INTERIOR;CR;2,000.00;;
ALL LOTS;INTERIOR;X;1,500.00;;
ALL LOTS;BARANGAY ROAD;RR;2,000.00;;
ALL LOTS;INTERIOR;RR;800.00;;
ALL LOTS;INTERIOR;A1;10.00;;
ALL LOTS;INTERIOR;A2;5.00;;
CITY/MUNICIPALITY:;ILAGAN;;;;
BARANGAY:;SAN JUAN;;;;
ALL LOTS;NATIONAL ROAD;CR;2,000.00;;
ALL LOTS;INTERIOR;CR;1,000.00;;
ALL LOTS;INTERIOR;X;1,000.00;;
ALL LOTS;BARANGAY ROAD;RR;1,000.00;;
ALL LOTS;INTERIOR;RR;500.00;;
ALL LOTS;INTERIOR;A1;10.00;;
ALL LOTS;INTERIOR;A2;5.00;;
CITY/MUNICIPALITY:;ILAGAN;;;;
BARANGAY:;SAN LORENZO;;;;
ALL LOTS;BARANGAY ROAD;RR;120.00;;
ALL LOTS;INTERIOR;RR;100.00;;
ALL LOTS;INTERIOR;A1;10.00;;
ALL LOTS;INTERIOR;A2;5.00;;
CITY/MUNICIPALITY:;ILAGAN;;;;
BARANGAY:;SAN PABLO;;;;
ALL LOTS;BARANGAY ROAD;RR;120.00;;
ALL LOTS;INTERIOR;RR;100.00;;
ALL LOTS;INTERIOR;A1;10.00;;
ALL LOTS;INTERIOR;A2;5.00;;
CITY/MUNICIPALITY:;ILAGAN;;;;
BARANGAY:;SAN PEDRO;;;;
ALL LOTS;BARANGAY ROAD;RR;100.00;;
ALL LOTS;INTERIOR;RR;80.00;;
ALL LOTS;INTERIOR;A1;8.00;;
ALL LOTS;INTERIOR;A2;4.00;;
CITY/MUNICIPALITY:;ILAGAN;;;;
BARANGAY:;SAN RAFAEL;;;;
ALL LOTS;BARANGAY ROAD;RR;120.00;;
ALL LOTS;INTERIOR;RR;100.00;;
ALL LOTS;INTERIOR;A1;10.00;;
ALL LOTS;INTERIOR;A2;5.00;;
CITY/MUNICIPALITY:;ILAGAN;;;;
BARANGAY:;SAN RODRIGO;;;;
ALL  LOTS;BARANGAY ROAD;RR;120.00;;
ALL  LOTS;INTERIOR;RR;100.00;;
ALL  LOTS;INTERIOR;A1;10.00;;
ALL  LOTS;INTERIOR;A2;5.00;;
CITY/MUNICIPALITY:;ILAGAN;;;;
BARANGAY:;SAN VICENTE (POBLACION);;;;
ALL LOTS;PROVINCIAL ROAD;CR;3,000.00;;
ALL LOTS;INTERIOR;CR;2,700.00;;
ALL LOTS;INTERIOR;RR;1,000.00;;
ALL LOTS;BARANGAY ROAD;RR;1,000.00;;
ALL LOTS;INTERIOR;RR;800.00;;
ALL LOTS;INTERIOR;A1;10.00;;
ALL LOTS;INTERIOR;A2;5.00;;
CITY/MUNICIPALITY:;ILAGAN;;;;
BARANGAY:;SIFFU;;;;
ALL LOTS;BARANGAY ROAD;RR;120.00;;
ALL LOTS;BARANGAY ROAD;A1;10.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;ILAGAN;;;;
BARANGAY:;SINDON MARIDE;;;;
ALL LOTS;BARANGAY ROAD;RR;120.00;;
ALL LOTS;BARANGAY ROAD;A1;10.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;ILAGAN;;;;
BARANGAY:;SINDUN BAYABO;;;;
ALL LOTS;BARANGAY ROAD;RR;120.00;;
ALL LOTS;BARANGAY ROAD;A1;10.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;ILAGAN;;;;
BARANGAY:;SIPAY;;;;
ALL LOTS;BARANGAY ROAD;RR;100.00;;
ALL LOTS;BARANGAY ROAD;A1;8.00;;
ALL LOTS;BARANGAY ROAD;A2;4.00;;
CITY/MUNICIPALITY:;ILAGAN;;;;
BARANGAY:;SANTA BARBARA;;;;
ALL LOTS;;CR;1,750.00;;
ALL LOTS;;RR;1,500.00;;
ALL LOTS;INTERIOR;RR;800.00;;
ALL LOTS;INTERIOR;X;550.00;;
ALL LOTS;INTERIOR;A1;10.00;;
ALL LOTS;INTERIOR;A2;5.00;;
CITY/MUNICIPALITY:;ILAGAN;;;;
BARANGAY:;SANTA CATALINA;;;;
SANTA CATALINA;PROVINCIAL ROAD;X;100.00;;
;BARANGAY ROAD;RR;175.00;;
;INTERIOR;RR;100.00;;
;INTERIOR;A1;10.00;;
;INTERIOR;A2;5.00;;
CITY/MUNICIPALITY:;ILAGAN;;;;
BARANGAY:;SANTA ISABELA NORTE;;;;
ALL LOTS;BARANGAY ROAD;RR;175.00;;
ALL LOTS;BARANGAY ROAD;A1;10.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;ILAGAN;;;;
BARANGAY:;SANTA ISABEL SUR;;;;
ALL LOTS;BARANGAY ROAD;RR;175.00;;
ALL LOTS;BARANGAY ROAD;A1;10.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;ILAGAN;;;;
BARANGAY:;SANTA MARIA;;;;
ALL LOTS;BARANGAY ROAD;RR;120.00;;
ALL LOTS;BARANGAY ROAD;A1;10.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;ILAGAN;;;;
BARANGAY:;SANTA VICTORIA;;;;
ALL LOTS;BARANGAY ROAD;RR;120.00;;
ALL LOTS;BARANGAY ROAD;A1;10.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;ILAGAN;;;;
BARANGAY:;SANTO TOMAS;;;;
ALL LOTS;BARANGAY ROAD;RR;175.00;;
ALL LOTS;BARANGAY ROAD;A1;10.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;ILAGAN;;;;
BARANGAY:;TANGCUL;;;;
ALL LOTS;BARANGAY ROAD;RR;175.00;;
ALL LOTS;INTERIOR;RR;100.00;;
ALL LOTS;INTERIOR;A1;10.00;;
ALL LOTS;INTERIOR;A2;5.00;;
CITY/MUNICIPALITY:;ILAGAN;;;;
BARANGAY:;TUBO;;;;
ALL LOTS;BARANGAY ROAD;RR;100.00;;
ALL LOTS;BARANGAY ROAD;A1;8.00;;
ALL LOTS;BARANGAY ROAD;A2;4.00;;
CITY/MUNICIPALITY:;ILAGAN;;;;
BARANGAY:;VILLA IMELDA;;;;
ALL LOTS;BARANGAY ROAD;RR;100.00;;
ALL LOTS;INTERIOR;RR;80.00;;
ALL LOTS;INTERIOR;A1;8.00;;
ALL LOTS;INTERIOR;A2;4.00;;
CITY/MUNICIPALITY:;JONES;;;;
BARANGAY:;ABULAN;;;;
ALL LOTS;PROVINCIAL ROAD;CR;100.00;;
ALL LOTS;PROVINCIAL ROAD;RR;60.00;;
ALL LOTS;PROVINCIAL ROAD;I;150.00;;
ALL LOTS;BARANGAY ROAD;RR;50.00;;
ALL LOTS;BARANGAY ROAD;A1;6.00;;
ALL LOTS;BARANGAY ROAD;A2;4.00;;
CITY/MUNICIPALITY:;JONES;;;;
BARANGAY:;ADDALAM;;;;
ALL LOTS;MUNICIPAL ROAD;CR;100.00;;
ALL LOTS;MUNICIPAL ROAD;RR;60.00;;
ALL LOTS;MUNICIPAL ROAD;I;175.00;;
ALL LOTS;BARANGAY ROAD;RR;50.00;;
ALL LOTS;BARANGAY ROAD;A1;6.00;;
ALL LOTS;BARANGAY ROAD;A2;4.00;;
CITY/MUNICIPALITY:;JONES;;;;
BARANGAY:;ARURUB;;;;
ALL LOTS;MUNICIPAL ROAD;CR;100.00;;
ALL LOTS;MUNICIPAL ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;6.00;;
ALL LOTS;BARANGAY ROAD;A2;4.00;;
CITY/MUNICIPALITY:;JONES;;;;
BARANGAY:;BANNAWAG;;;;
ALL LOTS;MUNICIPAL ROAD;RR;60.00;;
ALL LOTS;MUNICIPAL ROAD;A1;6.00;;
ALL LOTS;MUNICIPAL ROAD;A2;4.00;;
CITY/MUNICIPALITY:;JONES;;;;
BARANGAY:;BANTAY;;;;
ALL LOTS;MUNICIPAL ROAD;RR;60.00;;
ALL LOTS;MUNICIPAL ROAD;A1;6.00;;
ALL LOTS;MUNICIPAL ROAD;A2;4.00;;
CITY/MUNICIPALITY:;JONES;;;;
BARANGAY:;1 (CENTRO 1);;;;
ALL LOTS;PROVINCIAL ROAD;CR;250.00;;
ALL LOTS;PROVINCIAL ROAD;RR;75.00;;
ALL LOTS;PROVINCIAL ROAD;I;400.00;;
ALL LOTS;INTERIOR;RR;70.00;;
ALL LOTS;INTERIOR;A1;8.00;;
ALL LOTS;INTERIOR;A2;5.00;;
CITY/MUNICIPALITY:;JONES;;;;
BARANGAY:;11 (CENTRO TWO);;;;
ALL LOTS;PROVINCIAL ROAD;CR;250.00;;
ALL LOTS;PROVINCIAL ROAD;RR;75.00;;
ALL LOTS;PROVINCIAL ROAD;I;400.00;;
ALL LOTS;INTERIOR;RR;40.00;;
ALL LOTS;INTERIOR;A1;8.00;;
ALL LOTS;INTERIOR;A2;5.00;;
CITY/MUNICIPALITY:;JONES;;;;
BARANGAY:;BARANGCUAG;;;;
ALL LOTS;MUNICIPAL ROAD;CR;100.00;;
ALL LOTS;MUNICIPAL ROAD;RR;60.00;;
ALL LOTS;MUNICIPAL ROAD;I;150.00;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;5.00;;
ALL LOTS;BARANGAY ROAD;A2;4.00;;
CITY/MUNICIPALITY:;JONES;;;;
BARANGAY:;DELIBUBON;;;;
ALL LOTS;PROVINCIAL ROAD;CR;100.00;;
ALL LOTS;PROVINCIAL ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;8.00;;
ALL LOTS;BARANGAY ROAD;A2;6.00;;
CITY/MUNICIPALITY:;JONES;;;;
BARANGAY:;DALIGAN;;;;
ALL LOTS;PROVINCIAL ROAD;CR;100.00;;
ALL LOTS;PROVINCIAL ROAD;RR;60.00;;
ALL LOTS;PROVINCIAL ROAD;I;180.00;;
ALL LOTS;BARANGAY ROAD;RR;50.00;;
ALL LOTS;BARANGAY ROAD;A1;8.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;JONES;;;;
BARANGAY:;DIARAO;;;;
ALL LOTS;PROVINCIAL ROAD;CR;100.00;;
ALL LOTS;PROVINCIAL ROAD;RR;60.00;;
ALL LOTS;PROVINCIAL ROAD;I;160.00;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;8.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;JONES;;;;
BARANGAY:;DIBULAN;;;;
ALL LOTS;PROVINCIAL ROAD;CR;100.00;;
ALL LOTS;PROVINCIAL ROAD;RR;60.00;;
ALL LOTS;PROVINCIAL ROAD;I;180.00;;
ALL LOTS;BARANGAY ROAD;RR;50.00;;
ALL LOTS;BARANGAY ROAD;A1;8.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;JONES;;;;
BARANGAY:;DICAMAY 1;;;;
ALL LOTS;FOREST ZONE;RR;45.00;;
ALL LOTS;FOREST ZONE;A1;6.00;;
ALL LOTS;FOREST ZONE;A2;4.00;;
CITY/MUNICIPALITY:;JONES;;;;
BARANGAY:;DICAMAY II;;;;
ALL LOTS;FOREST ZONE;RR;45.00;;
ALL LOTS;FOREST ZONE;A1;6.00;;
ALL LOTS;FOREST ZONE;A2;4.00;;
CITY/MUNICIPALITY:;JONES;;;;
BARANGAY:;DIPANGIT;;;;
ALL LOTS;MUNICIPAL ROAD;RR;60.00;;
ALL LOTS;MUNICIPAL ROAD;A1;8.00;;
ALL LOTS;MUNICIPAL ROAD;A2;5.00;;
CITY/MUNICIPALITY:;JONES;;;;
BARANGAY:;DISIMPIT;;;;
ALL LOTS;PROVINCIAL ROAD;CR;110.00;;
ALL LOTS;PROVINCIAL ROAD;RR;60.00;;
ALL LOTS;MUNICIPAL ROAD;RR;60.00;;
ALL LOTS;MUNICIPAL ROAD;A1;8.00;;
ALL LOTS;MUNICIPAL ROAD;A2;5.00;;
CITY/MUNICIPALITY:;JONES;;;;
BARANGAY:;DIVINAN;;;;
ALL LOTS;BARANGAY ROAD;RR;50.00;;
ALL LOTS;BARANGAY ROAD;A1;6.00;;
ALL LOTS;BARANGAY ROAD;A2;4.00;;
CITY/MUNICIPALITY:;JONES;;;;
BARANGAY:;DUMAWING;;;;
ALL LOTS;BARANGAY ROAD;RR;50.00;;
ALL LOTS;BARANGAY ROAD;A1;6.00;;
ALL LOTS;BARANGAY ROAD;A2;4.00;;
CITY/MUNICIPALITY:;JONES;;;;
BARANGAY:;FUGO;;;;
ALL LOTS;PROVINCIAL ROAD;CR;110.00;;
ALL LOTS;PROVINCIAL ROAD;RR;60.00;;
ALL LOTS;PROVINCIAL ROAD;I;150.00;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;8.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;JONES;;;;
BARANGAY:;LACAB;;;;
ALL LOTS;MUNICIPAL ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;RR;50.00;;
ALL LOTS;BARANGAY ROAD;A1;8.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;JONES;;;;
BARANGAY:;LINAMANAN;;;;
ALL LOTS;BARANGAY ROAD;RR;50.00;;
ALL LOTS;BARANGAY ROAD;A1;6.00;;
ALL LOTS;BARANGAY ROAD;A2;4.00;;
CITY/MUNICIPALITY:;JONES;;;;
BARANGAY:;LINOMOT;;;;
ALL LOTS;MUNICIPAL ROAD;CR;100.00;;
ALL LOTS;MUNICIPAL ROAD;RR;50.00;;
ALL LOTS;MUNICIPAL ROAD;I;150.00;;
ALL LOTS;BARANGAY ROAD;RR;50.00;;
ALL LOTS;BARANGAY ROAD;A1;8.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;JONES;;;;
BARANGAY:;MALANNIT;;;;
ALL LOTS;BARANGAY ROAD;RR;50.00;;
ALL LOTS;BARANGAY ROAD;A1;6.00;;
ALL LOTS;BARANGAY ROAD;A2;4.00;;
CITY/MUNICIPALITY:;JONES;;;;
BARANGAY:;MINURI;;;;
ALL LOTS;PROVINCIAL ROAD;CR;100.00;;
ALL LOTS;PROVINCIAL ROAD;RR;60.00;;
ALL LOTS;PROVINCIAL ROAD;I;150.00;;
ALL LOTS;BARANGAY ROAD;RR;50.00;;
ALL LOTS;BARANGAY ROAD;A1;8.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;JONES;;;;
BARANGAY:;NAMNAMA;;;;
ALL LOTS;BARANGAY ROAD;RR;50.00;;
ALL LOTS;BARANGAY ROAD;A1;6.00;;
ALL LOTS;BARANGAY ROAD;A2;4.00;;
CITY/MUNICIPALITY:;JONES;;;;
BARANGAY:;NAPALIONG;;;;
ALL LOTS;PROVINCIAL ROAD;CR;100.00;;
ALL LOTS;PROVINCIAL ROAD;RR;60.00;;
ALL LOTS;PROVINCIAL ROAD;I;150.00;;
ALL LOTS;BARANGAY ROAD;RR;50.00;;
ALL LOTS;BARANGAY ROAD;A1;8.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;JONES;;;;
BARANGAY:;PALAGAO;;;;
ALL LOTS;PROVINCIAL ROAD;CR;110.00;;
ALL LOTS;PROVINCIAL ROAD;RR;70.00;;
ALL LOTS;MUNICIPAL ROAD;RR;60.00;;
ALL LOTS;MUNICIPAL ROAD;A1;8.00;;
ALL LOTS;MUNICIPAL ROAD;A2;5.00;;
CITY/MUNICIPALITY:;JONES;;;;
BARANGAY:;PAPAN EAST;;;;
ALL LOTS;BARANGAY ROAD;RR;50.00;;
ALL LOTS;BARANGAY ROAD;A1;6.00;;
ALL LOTS;BARANGAY ROAD;A2;4.00;;
CITY/MUNICIPALITY:;JONES;;;;
BARANGAY:;PAPAN WEST;;;;
ALL LOTS;BARANGAY ROAD;RR;50.00;;
ALL LOTS;BARANGAY ROAD;A1;6.00;;
ALL LOTS;BARANGAY ROAD;A2;4.00;;
CITY/MUNICIPALITY:;JONES;;;;
BARANGAY:;PAYAC;;;;
ALL LOTS;PROVINCIAL ROAD;RR;100.00;;
ALL LOTS;BARANGAY ROAD;A1;8.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;JONES;;;;
BARANGAY:;PONGPONGAN;;;;
ALL LOTS;BARANGAY ROAD;RR;50.00;;
ALL LOTS;BARANGAY ROAD;A1;6.00;;
ALL LOTS;BARANGAY ROAD;A2;4.00;;
CITY/MUNICIPALITY:;JONES;;;;
BARANGAY:;SAN ANTONIO;;;;
ALL LOTS;BARANGAY ROAD;RR;50.00;;
ALL LOTS;BARANGAY ROAD;A1;6.00;;
ALL LOTS;BARANGAY ROAD;A2;4.00;;
CITY/MUNICIPALITY:;JONES;;;;
BARANGAY:;SAN ISIDRO BLISS;;;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;6.00;;
ALL LOTS;BARANGAY ROAD;A2;4.00;;
CITY/MUNICIPALITY:;JONES;;;;
BARANGAY:;SAN JOSE;;;;
ALL LOTS;BARANGAY ROAD;RR;50.00;;
ALL LOTS;BARANGAY ROAD;A1;6.00;;
ALL LOTS;BARANGAY ROAD;A2;4.00;;
CITY/MUNICIPALITY:;JONES;;;;
BARANGAY:;SAN ROQUE;;;;
ALL LOTS;BARANGAY ROAD;RR;50.00;;
ALL LOTS;BARANGAY ROAD;A1;6.00;;
ALL LOTS;BARANGAY ROAD;A2;4.00;;
CITY/MUNICIPALITY:;JONES;;;;
BARANGAY:;SAN SEBASTIAN;;;;
ALL LOTS;BARANGAY ROAD;RR;50.00;;
ALL LOTS;BARANGAY ROAD;A1;6.00;;
ALL LOTS;BARANGAY ROAD;A2;4.00;;
CITY/MUNICIPALITY:;JONES;;;;
BARANGAY:;SAN VICENTI;;;;
ALL LOTS;PROVINCIAL ROAD;CR;100.00;;
ALL LOTS;PROVINCIAL ROAD;RR;60.00;;
ALL LOTS;PROVINCIAL ROAD;I;150.00;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;8.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;JONES;;;;
BARANGAY:;SANTA ISABEL;;;;
ALL LOTS;BARANGAY ROAD;RR;50.00;;
ALL LOTS;BARANGAY ROAD;A1;6.00;;
ALL LOTS;BARANGAY ROAD;A2;4.00;;
CITY/MUNICIPALITY:;JONES;;;;
BARANGAY:;SANTO DOMINGO;;;;
ALL LOTS;BARANGAY ROAD;RR;50.00;;
ALL LOTS;BARANGAY ROAD;A1;6.00;;
ALL LOTS;BARANGAY ROAD;A2;4.00;;
CITY/MUNICIPALITY:;JONES;;;;
BARANGAY:;TUPAX;;;;
ALL LOTS;BARANGAY ROAD;RR;50.00;;
ALL LOTS;BARANGAY ROAD;A1;6.00;;
ALL LOTS;BARANGAY ROAD;A2;4.00;;
CITY/MUNICIPALITY:;JONES;;;;
BARANGAY:;USOL;;;;
ALL LOTS;PROVINCIAL ROAD;CR;100.00;;
ALL LOTS;PROVINCIAL ROAD;RR;60.00;;
ALL LOTS;PROVINCIAL ROAD;I;150.00;;
ALL LOTS;BARANGAY ROAD;RR;50.00;;
ALL LOTS;BARANGAY ROAD;A1;8.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;JONES;;;;
BARANGAY:;VILLA BELLO;;;;
ALL LOTS;BARANGAY ROAD;RR;50.00;;
ALL LOTS;BARANGAY ROAD;A1;6.00;;
ALL LOTS;BARANGAY ROAD;A2;4.00;;
CITY/MUNICIPALITY:;LUNA;;;;
BARANGAY:;BUSTAMANTE;;;;
ALL LOTS;BARANGAY ROADS;CR;100.00;;
ALL LOTS;BARANGAY ROADS;RR;50.00;;
ALL LOTS;BARANGAY ROADS;I;50.00;;
ALL LOTS;BARANGAY ROADS;A1;10.00;;
ALL LOTS;BARANGAY ROADS;A2;5.00;;
CITY/MUNICIPALITY:;LUNA;;;;
BARANGAY:;CENTRO 1, CENTRO 2, CENTRO 3;;;;
ALL LOTS;MUNICIPAL ROADS;CR;130.00;;
ALL LOTS;MUNICIPAL ROADS;RR;60.00;;
ALL LOTS;MUNICIPAL ROADS;I;100.00;;
ALL LOTS;MUNICIPAL ROADS;A1;10.00;;
ALL LOTS;MUNICIPAL ROADS;A2;5.00;;
CITY/MUNICIPALITY:;LUNA;;;;
BARANGAYS:;CONCEPCION, HARANA, LALOG 1, LALOG 2, LUYAO, MACANAO, MACUGAY, MAMBABANGA, PULAY, PUROC, SAN ISDRO, SAN MIGUEL, SANTO DOMINGO, UNION KALINGA;;;;
ALL LOTS;BARANGAY ROADS;CR;100.00;;
ALL LOTS;BARANGAY ROADS;RR;60.00;;
ALL LOTS;BARANGAY ROADS;I;60.00;;
ALL LOTS;BARANGAY ROADS;A1;10.00;;
ALL LOTS;BARANGAY ROADS;A2;5.00;;
CITY/MUNICIPALITY:;LUNA;;;;
BARANGAY:;DADAP;;;;
ALL LOTS;BARANGAY ROADS;CR;100.00;;
ALL LOTS;BARANGAY ROADS;RR;50.00;;
ALL LOTS;BARANGAY ROADS;I;50.00;;
ALL LOTS;BARANGAY ROADS;A1;10.00;;
ALL LOTS;BARANGAY ROADS;A2;5.00;;
CITY/MUNICIPALITY:;MACONACON;;;;
BARANGAYS:;APLAYA, MALASIN, REINA MERCEDEZ, SANTA MARINA;;;;
ALL LOTS;INTERIOR LOTS;RR;60.00;;
ALL LOTS;INTERIOR LOTS;A2;6.00;;
CITY/MUNICIPALITY:;MACONACON;;;;
BARANGAY:;CANADAM;;;;
ALL LOTS;INTERIOR LOTS;RR;60.00;;
ALL LOTS;INTERIOR LOTS;A1;8.00;;
ALL LOTS;INTERIOR LOTS;A2;6.00;;
CITY/MUNICIPALITY:;MACONACON;;;;
BARANGAY:;DIANA;;;;
ALL LOTS;INTERIOR LOTS;RR;60.00;;
ALL LOTS;INTERIOR LOTS;A1;8.00;;
ALL LOTS;INTERIOR LOTS;A2;6.00;;
CITY/MUNICIPALITY:;MACONACON;;;;
BARANGAY:;ELEANOR;;;;
ALL LOTS;INTERIOR LOTS;RR;60.00;;
CITY/MUNICIPALITY:;MACONACON;;;;
BARANGAY:;FELY;;;;
ALL LOTS;INTERIOR LOTS;CR;150.00;;
ALL LOTS;INTERIOR LOTS;RR;60.00;;
CITY/MUNICIPALITY:;MACONACON;;;;
BARANGAY:;LITA;;;;
ALL LOTS;INTERIOR LOTS;CR;150.00;;
ALL LOTS;INTERIOR LOTS;RR;60.00;;
ALL LOTS;INTERIOR LOTS;I;100.00;;
CITY/MUNICIPALITY:;MACONACON;;;;
BARANGAY:;MINANGA;;;;
ALL LOTS;INTERIOR LOTS;RR;60.00;;
CITY/MUNICIPALITY:;MALILIG;;;;
BARANGAY:;BIMONTON;;;;
ALL LOTS;INTERIOR BARANGAY;RR;40.00;;
ALL LOTS;INTERIOR BARANGAY;A2;6.00;;
CITY/MUNICIPALITY:;MALILIG;;;;
BARANGAY:;CASILI;;;;
ALL LOTS;PROVINCIAL ROAD;CR;175.00;;
ALL LOTS;PROVINCIAL ROAD;RR;90.00;;
ALL LOTS;PROVINCIAL ROAD;I;175.00;;
ALL LOTS;PROVINCIAL ROAD;A1;18.00;;
ALL LOTS;PROVINCIAL ROAD;A2;10.00;;
CITY/MUNICIPALITY:;MALILIG;;;;
BARANGAYS:;CENTRO 1 & CENTRO 11;;;;
ALL LOTS;PROVINCIAL ROAD;CR;300.00;;
ALL LOTS;PROVINCIAL ROAD;RR;150.00;;
ALL LOTS;PROVINCIAL ROAD;I;300.00;;
ALL LOTS;PROVINCIAL ROAD;A1;15.00;;
ALL LOTS;PROVINCIAL ROAD;A2;5.00;;
CITY/MUNICIPALITY:;MALILIG;;;;
BARANGAY:;HOLY FRIDAY;;;;
ALL LOPTS;INTERIOR BARANGAY;RR;30.00;;
ALL LOPTS;INTERIOR BARANGAY;A2;5.00;;
CITY/MUNICIPALITY:;MALILIG;;;;
BARANGAY:;MALIGAYA;;;;
ALL LOTS;PROVINCIAL ROAD;RR;85.00;;
ALL LOTS;PROVINCIAL ROAD;A1;15.00;;
ALL LOTS;PROVINCIAL ROAD;A2;6.00;;
CITY/MUNICIPALITY:;MALILIG;;;;
BARANGAY:;MANANO;;;;
ALL LOTS;INTERIOR BARANGAY;RR;30.00;;
ALL LOTS;INTERIOR BARANGAY;A2;5.00;;
CITY/MUNICIPALITY:;MALILIG;;;;
BARANGAY:;OLANGO;;;;
ALL LOTS;INTERIOR BARANGAY;RR;45.00;;
ALL LOTS;INTERIOR BARANGAY;A1;10.00;;
ALL LOTS;INTERIOR BARANGAY;A2;6.00;;
CITY/MUNICIPALITY:;MALILIG;;;;
BARANGAY:;RANG-AYAN;;;;
ALL LOTS;INTERIOR BARANGAY;RR;40.00;;
ALL LOTS;INTERIOR BARANGAY;A2;6.00;;
CITY/MUNICIPALITY:;MALILIG;;;;
BARANGAYS:;SAN JOSE NORTE I, SAN JOSE NORTE 11;;;;
ALL LOTS;INTERIOR BARANGAY;RR;50.00;;
ALL LOTS;INTERIOR BARANGAY;A1;15.00;;
ALL LOTS;INTERIOR BARANGAY;A2;6.00;;
CITY/MUNICIPALITY:;MALILIG;;;;
